ID,Name,Age,Department,Salary,Experience_Years,Performance_Score,Joining_Date
1485,Hannah,29,HR,44255,15,3.2,2011-04-30
1486,Charlie,49,IT,54484,22,1.9,2011-05-01
1487,Alice,52,HR,96549,28,1.1,2011-05-02
1488,Charlie,30,IT,74503,14,1.9,2011-05-03
1489,David,50,Finance,113794,27,2.7,2011-05-04
1490,Bob,35,IT,85113,28,4.0,2011-05-05
1491,Alice,43,IT,114069,26,1.8,2011-05-06
1492,Grace,32,Sales,45249,2,3.9,2011-05-07
1493,Hannah,44,Marketing,59201,25,4.5,2011-05-08
1494,Grace,22,Marketing,98576,3,2.8,2011-05-09
1495,Emma,58,Finance,49686,8,4.3,2011-05-10
1496,Alice,42,Finance,93363,33,3.2,2011-05-11
1497,Grace,47,Marketing,40661,6,3.5,2011-05-12
1498,Grace,57,Sales,84843,23,3.1,2011-05-13
1499,Ian,44,Marketing,100963,25,2.9,2011-05-14
1500,Charlie,22,Sales,82828,19,1.9,2011-05-15
